business_name,category,subcategory,address,city,phone,website,rating,num_reviews,description,source_url
001 Grillz,Restaurants & Food,Fast Food,335 YONGE ST,Toronto,,,,,,https://www.gtasearch.com/biz/001-grillz-toronto
00gelato,Restaurants & Food,Fast Food,370 KING ST W,Toronto,,,,,,https://www.gtasearch.com/biz/00gelato-toronto
1 Hotel Lobby Bar/1 Hotel Toronto/1 Kitchen/Casa Madera/,Restaurants & Food,,550 WELLINGTON ST W,Toronto,,,,,,https://www.gtasearch.com/biz/1-hotel-lobby-bar-1-hotel-toronto-1-kitchen-casa-madera-toronto
1 Plus 1 Pizza,Restaurants & Food,Fast Food,361 OAKWOOD AVE,Toronto,(416) 656-0656,,,,,https://www.gtasearch.com/biz/1-plus-1-pizza-toronto
1 Zero 2 Delights,Restaurants & Food,,102 FORT YORK BLVD,Toronto,,,,,,https://www.gtasearch.com/biz/1-zero-2-delights-toronto
10 Dean,Restaurants & Food,,21 DALHOUSIE ST,Toronto,,,,,,https://www.gtasearch.com/biz/10-dean-toronto-2
100 Porsi Ento Salvadoreno,Restaurants & Food,Fast Food,612 TRETHEWEY DR,Toronto,(647) 832-1303,,,,,https://www.gtasearch.com/biz/100-porsi-ento-salvadoreno-toronto
1000 Variety,Restaurants & Food,Fast Food,1000 PAPE AVE,Toronto,,,,,,https://www.gtasearch.com/biz/1000-variety-toronto
1000034213 Ontario,Restaurants & Food,Fast Food,"405 DUNDAS ST W, #102",Toronto,,,,,,https://www.gtasearch.com/biz/1000034213-ontario-toronto
1000955688 Ontario,Restaurants & Food,Fast Food,165 MAIN ST,Toronto,,,,,,https://www.gtasearch.com/biz/1000955688-ontario-toronto
1001095107 Ontario,Restaurants & Food,,"811 DUNDAS ST W, #1",Toronto,,,,,,https://www.gtasearch.com/biz/1001095107-ontario-toronto
11:59,Restaurants & Food,,70 TEMPERANCE ST,Toronto,,,,,,https://www.gtasearch.com/biz/11-59-toronto
111 Ramyun,Restaurants & Food,,2156 YONGE ST,Toronto,,,,,,https://www.gtasearch.com/biz/111-ramyun-toronto
1117 Meats And Pantry,Restaurants & Food,Fast Food,1117 QUEEN ST W,Toronto,,,,,,https://www.gtasearch.com/biz/1117-meats-and-pantry-toronto
12 Tables,Restaurants & Food,,1552 AVENUE RD,Toronto,,,,,,https://www.gtasearch.com/biz/12-tables-toronto
15861772 Canada,Restaurants & Food,Fast Food,"280 SPADINA AVE, GF1",Toronto,,,,,,https://www.gtasearch.com/biz/15861772-canada-toronto
1611 Studios,Restaurants & Food,,1611 DUNDAS ST W,Toronto,,,,,,https://www.gtasearch.com/biz/1611-studios-toronto
16153003 Canada,Restaurants & Food,Fast Food,569 COLLEGE ST,Toronto,(437) 973-4343,,,,,https://www.gtasearch.com/biz/16153003-canada-toronto
18 Feet,Restaurants & Food,Fast Food,"329 YONGE ST, FL2",Toronto,,,,,,https://www.gtasearch.com/biz/18-feet-toronto
